Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
akataññū 2	pp		adj	comp		neg				knowing the uncreated; who knows the unborn	знающий не сотворенное; кто знает не рожденное				akata + ñū	akṛta + jña				see akataññu 1	DHP 383	brāhmaṇavaggo	chinda sotaṃ parakkamma, kāme panūda brāhmaṇa,<br/>saṅkhārānaṃ khayaṃ ñatvā, <b>akataññū</b>'si brāhmaṇa.				DHP 097	arahantavaggo	assaddho <b>akataññū</b> ca, sandhicchedo ca yo naro,<br/>hat'āvakāso vant'āso, sa ve uttamaporiso.											akataññ	ū adj	5			
akatapāpa	p		adj	comp		neg				who has not done evil; who has not done wrong	кто не делал зла; кто не сделал ничего плохого				na > a + kata + pāpa	akṛta + pāpa					AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatapāpo</b> hoti akataluddo akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akatapāp	a adj	5			
akatabhīruttāṇa	p		adj	comp		neg				who has not made a refuge from fear; who has not made a protection against terror; (comm) who has not protected the fearful	кто не укрылся от страха; кто не защитился от ужаса; (комм) кто не защищал напуганных				akata + bhīruttāṇa	akṛta + bhīru + trāṇa			(ANa) bhītassa parittāyakattā <b>bhīruttāṇan</b>'ti vuccati.		AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti akatakusalo <b>akatabhīruttāṇo</b> katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akatabhīruttāṇ	a adj	5			
akataludda	p		adj	comp		neg				who has not done cruel deeds	кто не совершал жестоких поступков				na > a + kata + ludda	akṛta + raudra			(ANa) <b>luddan</b>'ti kakkhaḷakammaṃ.		AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti <b>akataluddo</b> akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akataludd	a adj	5			
akata 1	ps		pp		na + karoti	neg				not done; not made; not created	не созданный; не сделанный		√kar 7 o (to do, make)		na + √kar + ta	akṛta	√kṛ				UD 73	tatiyanibbāna paṭisaṃyuttasuttaṃ	no ce’taṃ abhavissa ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ na’y’idha jātassa bhūtassa katassa saṅkhatassa nissaraṇaṃ paññāyetha.				SN 2.8	tāyanasuttaṃ	<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ, <br/>katañ’ca sukataṃ seyyo, yaṃ katvā n’ānutappati.	Tāyana-gāthā	On Protection	Verses							14n	akat	a pp	5	11	110	
akata 2	pp		nt	pp	karoti	neg				something not done; unperformed  action	что-то не сделанное; невыполненное действие		√kar 7 o (to do, make)		na > a + √kar + ta	akṛta	√kṛ				DHP 314	nirayavaggo	<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ,<br/>katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati.				DHP 050	pupphavaggo	na paresaṃ vilomāni, na paresaṃ kat'ākataṃ,<br/>attano'va avekkheyya, katāni <b>akatāni</b> ca.											akat	a nt	5			
akata 3	s		adj		na + karoti	neg				not doing; not making; not practising	не делающий; не совершающий; не практикующий		√kar 7 o (to do, make)		na + √kar + ta	akṛta	√kṛ										PAT PK	dhammayuttika-pubbakicca	pānīyaparibhojanīya-upaṭṭhapanañ'ca; chand'ārahānaṃ bhikkhūnaṃ chanda-āharaṇañ'ca; tesaññ'eva <b>akata</b>-uposathānaṃ pārisuddhiyā'pi āharaṇañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	akat	a adj	5			
akatuposatha	s		adj	comp						who does not participate in the Uposatha	кто не участвует в Упосатхе				akata + uposatha												PAT PK	dhammayuttika-pubbakicca	pānīyaparibhojanīya-upaṭṭhapanañ'ca; chand'ārahānaṃ bhikkhūnaṃ chanda-āharaṇañ'ca; tesaññ'eva <b>akat'uposathānaṃ</b> pārisuddhiyā'pi āharaṇañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	akatuposath	a masc	5			
akatthamāna	p		prp		katthati	neg		intrans	+loc	not boasting (about)	не хвастающийся (о)		√katth 1 a (to boast)	√katth + a > kattha	na > a + kattha + māna<br/>na + katthamāna	akatthana	√katth				SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	santo ca bhikkhu abhinibbut'atto, iti'han'ti sīlesu <b>akatthamāno</b>,<br/>tam'ariyadhammaṃ kusalā vadanti, yass'ussadā n'atthi kuhiñci loke.																	akattha	māna prp	5			
akathaṃkathī	ps		adj	comp		neg			+loc	not confused; without doubt; lit. not asking 'how?'	свободный от сомнений; досл. не спрашивающий 'как?'				na + kathaṃ + kathī	akathaṃkathika					DHP 411	brāhmaṇavaggo	yass'ālayā na vijjanti, aññāya <b>akathaṃkathī</b>,<br/>amat'ogadham'anuppattaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.				MN 107	gaṇakamoggallānasuttaṃ	vicikicchaṃ pahāya tiṇṇavicikiccho viharati <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	akathaṃkath	ī adj	5			
akaddama	p		adj		kaddama	neg				free from mud; free from filth	свободный от грязи				na > a + kaddama	na + kardama					SN 20.9	nāgasuttaṃ	te taṃ sarasiṃ ogāhetvā soṇḍāya bhisamuḷālaṃ abbuhetvā suvikkhālitaṃ vikkhāletvā <b>akaddamaṃ</b> saṅkhāditvā ajjhoharanti.																	akaddam	a adj	5			
akaniṭṭha	p		masc	compar	yuvā	neg				class of devas; lit. not the youngest	класс божественных существ; досл. не самый молодой				na > a + yuva > kaṇa + iṭṭha	akaniṣṭha					SNa 35.228	paṭhama samuddasuttaṃ vaṇṇanā	tassa hi pathavito yāva <b>akaniṭṭha</b>-brahmalokā nīl'ādiārammaṇaṃ samosarantaṃ paripuṇṇabhāvaṃ kātuṃ na sakkoti																	akaniṭṭh	a masc	5			
akanta	ps		adj	pp	na kāmeti	neg				unpleasant; unwelcome; disagreeable	неприятный; нежелательный; отталкивающий		√kam 8 *e (to desire)		na + √kam + ta	akānta	√kam				DN 22.15	mahāsatipaṭṭhānasuttaṃ	idha yassa te honti aniṭṭhā <b>akantā</b> amanāpā rūpā saddā gandhā rasā phoṭṭhabbā dhammā, ye vā pan’assa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā				Trad		yan’dunnimittaṃ avamaṅgalañ’ca, yo c’āmanāpo sakuṇassa saddo, pāpaggaho dussupinaṃ <b>akantaṃ</b>, buddh’ānubhāvena vināsamentu	Abhaya-parittaṃ		Protective Recitations							58n	akant	a adj	5			
akappiya 1	p		adj	ptp	na kappati	neg				not allowable; unsuitable; inappropriate; lit. not to be fit	недопустимый; неподходящий; несоответствующий		√kapp 1 a (to be fit, be suitable)		na + √kapp + iya	akalpika	√kḷp				VIN 1.2.1	sukkavissaṭṭhi sikkhāpada	ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ <b>akappiyaṃ</b> akaraṇīyaṃ.																	akappiy	a adj	5			
akappiya 2	n		adj		kappeti	neg				un-constructed; un-fashioned; un-fabricated	не сконструированный; бесформенный; не сфабрикованный		√kapp 8 *e (to think)		na > a + √kapp + iya	akalpika	√kḷp				SNP 48	purābhedasuttaṃ<br/>aṭṭhakavaggo 10	vītagedho amaccharī, na ussesu vadate muni,<br/>na samesu na omesu, kappaṃ n'eti <b>akappiyo</b>.																	akappiy	a adj	5			
akammāsa	s		adj		na kammāsa	neg				unblemished; spotless; pure	безупречный; не опороченный; чистый; не запятнанный				na + kammāsa	akalmāṣa											MN 48	kosambiyasuttaṃ	bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhi-saṃvattanikāni 	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings							26n	akammās	a adj	5			
akaraṇa	s		nt	act	na karoti	neg				non-doing; non-action; absence of action	не-делание; отсутствие действия; не совершение		√kar 7 o (to do, make)		na + √kar + aṇa	akaraṇa	√kṛ										DHP 183	buddhavaggo	sabba-pāpassa <b>akaraṇaṃ</b>, kusalassa upasampadā. <br/>sacitta-pariyodapanaṃ, etaṃ buddhāna sāsanaṃ.	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses							09n	akaraṇ	a nt	5			
akaraṇīya 1	pp		ptp		na + karoti	neg				should not be done; could not be made	не должен быть сделан; не может быть выполнен		√kar 7 o (to do, make)		na + √kar + aṇīya	akaraṇīya	√kṛ				AN 7.67	nagaropamasuttaṃ	ayaṃ vuccati ariyasāvako <b>akaraṇīyo</b> mārassa akaraṇīyo pāpimato”ti				VIN 1.2.1	sukkavissaṭṭhi sikkhāpada	ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ akappiyaṃ <b>akaraṇīyaṃ</b>.											akaraṇīy	a ptp	5			
akaraṇīya 2	p		ptp		karoti	neg			+dat	undoable (for); lit. not to be done (for)			√kar 7 o (to do, make)		na > a + √kar + aṇīya<br/>na + karaṇīya	akaraṇīya	√kṛ				MN 61	ambalaṭṭhika rāhulovādasuttaṃ	pariccattaṃ kho rañño nāgassa jīvitaṃ. n'atthi dāni kiñci rañño nāgassa <b>akaraṇīyan</b>'ti.																	akaraṇīy	a ptp	5			
akaronta	p		prp		na karoti	neg		trans	+acc	not doing	не делающий		√kar 7 o (to do, make)	√kar + o > karo	na + karo + nta	na + karantī	√kṛ				TH 172	bākulattheragāthā	yañ’hi kayirā tañ’hi vade, yaṃ na kayirā na taṃ vade. <br/><b>akarontaṃ</b> bhāsamānaṃ, parijānanti paṇḍitā.																	akar	onta prp	5	10	21	
akasira	p		adj		na kasira	neg				without trouble	без проблем		√kas 1 a (to hurt, trouble)		na + √kas + ira	akṛcchra	√kaṣ				AN 7.67	nagaropamasuttaṃ	yato kho ariyasāvako imehi sattahi saddhammehi samannāgato hoti, imesañ’ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhamma-sukhavihārānaṃ nikāmalābhī hoti akicchalābhī <b>akasira</b>-lābhī.																	akasir	a adj	5			
akasiralābhī	p		masc	agent, comp	na kasira labhati	neg				who gains without trouble	кто получает без проблем				na + kasira + lābhī	akṛcchra + lābhin, akisaralābhin (BHS)					AN 7.67	nagaropamasuttaṃ	yato kho ariyasāvako imehi sattahi saddhammehi samannāgato hoti, imesañ’ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhamma-sukhavihārānaṃ nikāmalābhī hoti akicchalābhī <b>akasiralābhī</b>.																	akasiralābh	ī masc	5			
akaṃsu	pn		aor	3rd pl	karoti			trans	+acc	they did; they made	они сделали; они совершили		√kar 7 o (to do, make)	√kar > kā	a + kā + ṃsu	akrata	√kṛ				MN 81	ghaṭikārasuttaṃ	bhikkhū ghaṭikārassa kumbhakārassa āvesanaṃ uttiṇam’<b>akaṃsu.</b>				SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	na v'āham'etaṃ tathiyan'ti brūmi, yam'āhu bālā mithu aññam'aññaṃ,<br/>sakaṃ sakaṃ diṭṭhim'<b>akaṃsu</b> saccaṃ, tasmā hi bālo'ti paraṃ dahanti.											ak	āsi aor	5			
akāmaka	p		adj		na kāma	neg				unwilling; reluctant	не желающий; делающий (что-л.) с неохотой		√kam 8 *e (to desire)		na + √kam > kām + *a + ka<br/>na + kāma + ka	akāma	√kam				AN 6.57	chaḷabhijātisuttaṃ	seyyathā'pi, ānanda, puriso daliddo assako anāḷhiko, tassa <b>akāmakassa</b> bilaṃ olaggeyyuṃ, idaṃ te, ambho purisa, maṃsañ'ca khāditabbaṃ, mūlañ'ca anuppadātabban'ti.																	akāmak	a adj	5			
akāmā	p		ind	adv, abl sg	na kāma	neg				unwillingly; reluctantly; with no choice in the matter; whether one wants to or not	независимо от желания; вынужденно; без выбора в этом вопросе		√kam 8 *e (to desire)		na + √kam > kām + *a + ā<br/>akāma + ā	akāmāt	√kam		(VINa) akāmā parivatthabban'ti na kāmena, na vasena, atha kho akāmena avasena parivāsaṃ samādāya vatthabbaṃ.		VIN PAT SA	saṅghādisesuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā yāvat’īhaṃ jānaṃ paṭicchādeti tāvat’īhaṃ tena bhikkhunā, <b>akāmā</b>, parivatthabbaṃ.																	-		5			
akāraka	p		masc	agent	na karoti	neg				who is not a doer; who is not an agent; who is not the perpetrator; innocent	не деятель; не исполнитель; не преступник; невиновный		√kar 7 o (to do, make)		na + √kar + *aka	akāraka	√kṛ				NIDD1 2	duṭṭhaṭṭhakasuttaniddeso	<b>akārako</b>'mhī'ti yo vādaṃ upeti so imehi dvīhi kāraṇehi vādaṃ upeti.																	akārak	a masc	5			
akāraṇa	p		nt		kāreti	neg	caus			(in debate) counter-argument	(в дискуссии) контраргумент; ответный довод		√kar 7 *e (to do, make)	√kar + *e > kāre (caus)	na > a + kāre + aṇa	akāraṇa	√kṛ				ANa 3.68	kathāvatthusuttaṃvaṇṇanā	ṭhān'āṭhāne na saṇṭhātī'ti kāraṇa-<b>akāraṇe</b> na saṇṭhāti. tatr'āyaṃ nayo, sassatavādī yuttena kāraṇena pahoti ucchedavādiṃ niggahetuṃ																	akāraṇ	a nt	5			
akāriya	p		ptp		karoti	neg				not do-able; could not be done; impossible to do	не выполнимый; не может быть сделан; невозможно сделать		√kar 7 o (to do, make)		na > a + √kar > kār + *iya<br/>na + kāriya	akaraṇīya, akārya	√kṛ				DHP 176	lokavaggo	ekaṃ dhammaṃ atītassa, musāvādissa jantuno,<br/>vitiṇṇaparalokassa, n'atthi pāpaṃ <b>akāriyaṃ</b>.																	akāriy	a ptp	5			
akāretvā 1	p		abs		kāreti	neg	caus	trans	+acc	having not caused to do; having not made	не побудив сделать; не сделав		√kar 7 *e (to do, make)	√kar + *e > kāre (caus)	na > a + kāre + tvā	akrayitvā	√kṛ				ANa 3.68	kathāvatthusuttaṃvaṇṇanā	divāṭṭhāne nisinnakāle pana okāsaṃ kāretvā'va pucchantassa kathetabbo, <b>akāretvā</b> pucchantassa na kathetabbo.																	-		5			
akālacīvara	p		nt	comp						(vinaya) out of season robe cloth; unexpected robe	(виная) внесезонная ткань для одеяния; неожиданная одежда				akāla + cīvara	akāla + cīvara			(VIN 1.4.3) akālacīvaraṃ nāma anatthate kathine ekādasamāse uppannaṃ, atthate kathine sattamāse uppannaṃ, kāle'pi ādissa dinnaṃ, etaṃ akālacīvaraṃ nāma.		VIN PAT NP 3	akālacīvara sikkhāpada	niṭṭhita-cīvarasmiṃ bhikkhunā ubbhatasmiṃ kaṭhine bhikkhuno pan'eva <b>akālacīvaraṃ</b> uppajjeyya, ākaṅkhamānena bhikkhunā paṭiggahetabbaṃ paṭiggahetvā khippam’eva kāretabbaṃ.																	akālacīvar	a nt	5			
akālavādī	p		adj	comp						who speaks at the improper time	кто говорит в неподходящее время				akāla + vādī	akāla + vādin			(MNa) akālavādī'ti akālena vattā.<br/>(ANa) akālavādī'ti kālasmiṃ na vadati, akālasmiṃ vadati nāma.		AN 10.176	cundasuttaṃ	samphappalāpī hoti <b>akālavādī</b> abhūtavādī anatthavādī adhammavādī avinayavādī; anidhānavatiṃ vācaṃ bhāsitā hoti akālena anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ.																	akālavād	ī adj	5			
akāla 2	p		adj	in comps	kāla	neg				out of season; unseasonal; lit. in wrong time	не сезонный; досл. в неверное время		√kal 8 *e (to spend time)		na + √kal + *a	akāla	√kal				SN 54.9	vesālīsuttaṃ	seyyathā’pi gimhānaṃ pacchime māse ūhataṃ rajo-jallaṃ, tam’enaṃ mahā-<b>akāla</b>-megho ṭhānaso antaradhāpeti vūpasameti																	akāl	a adj	5			
akālika	ps		adj		na kāla	neg				not delayed; immediate; timeless; (comm) giving immediate fruit	незамедлительный; безотлагательный; вневременный; (комм) дающий немедленный результат		√kal 8 *e (to spend time)		na + √kal + *ika	akālikam	√kal		(SNa) attano phaladānaṃ sandhāya n'āssa kālo'ti akālo, akālo'y'eva akāliko.		SN 42.11	bhadrakasuttaṃ	“iminā tvaṃ dhammena diṭṭhena viditena <b>akālikena</b> pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi -				SN 11.3	dhajaggasuttaṃ	svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opanayiko paccattaṃ veditabbo viññūhi	Dhamm’ābhitthuti	Homage to the Dhamma	Homage to the Triple Gem							03n	akālik	a adj	5			
akālena	p		ind	adv, instr sg	kāla	neg				at the wrong moment; at an unsuitable time; at an improper time	в неподходящий момент; в неподходящее время; в неуместное время		√kal 8 *e (to spend time)		na > a + √kal > kāl + *a + ena<br/>akāla + ena	akālena	√kal		(MNa) akālenā'ti vattabbakālassa pubbe vā pacchā vā ayuttakāle vattā hoti.<br/>(ANa) akālenā'ti kathetuṃ ayuttakālena.		AN 10.176	cundasuttaṃ	samphappalāpī hoti akālavādī abhūtavādī anatthavādī adhammavādī avinayavādī; anidhānavatiṃ vācaṃ bhāsitā hoti <b>akālena</b> anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ.																	-		5			
akāsi	ps		aor		karoti			trans	+acc	did; made	сделал; совершил		√kar 7 o (to do, make)	√kar > kā (irreg)	a + kā + si	akṛthās, akrātām	√kṛ				VIN 1.2.12	dubbaca sikkhāpada	m’āyasmā attānaṃ avacanīyaṃ <b>akāsi</b>,  … , āyasmā’pi bhikkhū vadetu sahadhammena, bhikkhūpi āyasmantaṃ vakkhanti sahadhammena.				KHP 7	tirokuṭṭasuttaṃ	adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam’anussaraṃ.	Adāsi-me ādi gāthā		Funeral Chants							66n	ak	āsi aor	5			
akāsiṃ	pp		aor	1st sg	karoti			trans	+acc	I did; I made	я сделал; я совершил		√kar 7 o (to do, make)	√kar > kā (irreg)	a + kā + siṃ	akārṣīt	√kṛ				MN 19	dvedhāvitakkasuttaṃ	so kho ahaṃ, bhikkhave, yo c’āyaṃ kāmavitakko yo ca byāpādavitakko yo ca vihiṃsāvitakko — imaṃ ekaṃ bhāgam’<b>akāsiṃ</b>				AN 4.244	āpattibhayasuttaṃ	evaṃ vadeyya — ‘ahaṃ, bhante, pāpakammaṃ <b>akāsiṃ</b> gārayhaṃ mosallaṃ, yena me āyasmanto attamanā honti taṃ karomī’ti.											ak	āsi aor	5			
akicca	p		nt	ptp	karoti	neg				(something which) should be not done; ought not to be made	(то что) не должно быть сделано; не следует совершать		√kar 7 o (to do, make)		na > a + √kar + tya	akṛtya	√kṛ				DHP 293	pakiṇṇakavaggo	yesañ'ca susamāraddhā, niccaṃ kāyagatā sati,<br/><b>akiccaṃ</b> te na sevanti, kicce sātaccakārino,<br/>satānaṃ sampajānānaṃ, atthaṃ gacchanti āsavā.																	akicc	a nt	5			
akicchalābhī	p		masc	agent, comp	na akiccha labhati	neg				who gains without difficulty	получающий без проблем				na + kiccha + lābhī	akṛcchra + lābhī					AN 7.67	nagaropamasuttaṃ	imesañ’ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhamma-sukhavihārānaṃ nikāmalābhī hoti <b>akicchalābhī</b> akasiralābhī.																	akicchalābh	ī masc	5			
akiccha 1	pp		adj			neg				not difficult; trouble-free; easy to get	не трудный; без проблем; легко получаемый				na + kiccha	akṛcchra		akicca			AN 7.67	nagaropamasuttaṃ	imesañ’ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhamma-sukhavihārānaṃ nikāmalābhī hoti <b>akiccha-</b>lābhī akasiralābhī.				TH 257	pārāpariya-thera-gāthā	“dhanañ’ca puttaṃ bhariyañ’ca, chaḍḍayitvāna niggatā.<br/>kaṭacchu-bhikkha-hetū’pi, <b>akicchāni</b> nisevare.											akicch	a adj	5			
akiñcana	ps		adj		na kiñci	neg				with nothing; having no; possession-less	ни с чем; не имеющий; неимущий				na + kiñci + ana	akiñcana					DHP 396	brāhmaṇavaggo	na c'āhaṃ brāhmaṇaṃ brūmi, yonijaṃ mattisambhavaṃ,<br/>bhovādi nāma so hoti, sace hoti sakiñcano,<br/><b>akiñcanaṃ</b> anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.				DHP 088	paṇḍitavaggo	tatr’ābhiratim’iccheyya, hitvā kāme <b>akiñcano</b>, <br/>pariyodapeyya attānaṃ, cittaklesehi paṇḍito.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	akiñcan	a adj	5			
akiñci	p		pron	nom & acc sg	kiñci	neg				nothing; lit. not anything	ничего; ничто; досл. не что-либо				na > a + ka > ki + iṃ + ci	akiṃcid					DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'<b>akiñci</b> seyyo, yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati, tato tato sammati'm'eva dukkhaṃ.																	!a	kaci pron	5			
akiriya	p		nt		karoti	neg				non-doing; not doing	неделание; бездействие		√kar 7 o (to do, make)		na > a + √kar + iya	akriyā	√kṛ				SN 22.62	niruttipathasuttaṃ	ye'pi te, bhikkhave, ahesuṃ ukkalā vassabhaññā ahetukavādā <b>akiriya-</b>vādā natthikavādā																	akiriy	a nt	5			
