Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
akuppa	s		adj		na kuppa	neg				unshakable; unwavering			√kup 3 ya (to shake, be angry)		na + √kup + ya	akupyat	√kup										SN 56.11	dhammacakkappavattanasuttaṃ	ñāṇañ’ca pana me dassanaṃ udapādi — ‘<b>akuppā</b> me vimutti, ayam’antimā jāti, n’atthi-dāni punabbhavo’ti.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings							17n	akupp	a adj	5			
akusala 1	ss		adj		na kusala	neg				unbeneficial; useless; unskilful					na + kusala	akuśala											SN 12.22	dutiyadasabalasuttaṃ	dukkhaṃ, bhikkhave, kusīto viharati vokiṇṇo pāpakehi <b>akusalehi</b> dhammehi, mahantañ’ca sadatthaṃ parihāpeti.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu anuppannānaṃ pāpakānaṃ <b>akusalānaṃ</b> dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	28n	akusal	a adj	5	11	1236	
akkhama	ps		adj		na khama	neg			+dat	impatient (with); intolerant (of); not able to endure			√kham 1 a (to tolerate, endure)		na + √kham + a	akṣama	√kṣam				AN 5.113	sammāsamādhisuttaṃ	idha, bhikkhave, bhikkhu <b>akkhamo</b> hoti rūpānaṃ, <b>akkhamo</b> saddānaṃ, <b>akkhamo</b> gandhānaṃ, <b>akkhamo</b> rasānaṃ, <b>akkhamo</b> phoṭṭhabbānaṃ.				Trad		mār’ātirekam’abhiyujjhita-sabba-rattiṃ, ghoram’pan’āḷavakam’<b>akkhama</b>-thaddha-yakkhaṃ, khantī-sudanta-vidhinā jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	akkham	a adj	5			
akkhāta	ps		pp		akkhāti					announced; told; declared			√khā 1 a (to tell, announce)		ā + √khā + ta	akṣata	√khyā				SN 22.95	pheṇapiṇḍūpamasuttaṃ	etādis’āyaṃ santāno, māy’āyaṃ bālalāpinī, <br/>vadhako esa <b>akkhāto</b>, sāro ettha na vijjati.				DHP 086	paṇḍitavaggo	ye ca kho sammad-<b>akkhāte</b>, dhamme dhamm’ānuvattino, <br/>te janā pāram’essanti, maccudheyyaṃ suduttaraṃ.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	akkhāt	a pp	5	11	223	
akkhātar	ps		masc	agent	akkhāti					speaker; who tells			√khā 1 a (to tell, announce)		ā + √khā + tar	ākhyātṛ	√khyā			akkhātā is m nom sg	DHP 276	maggavaggo	tumhehi kiccam'ātappaṃ, <b>akkhātāro</b> tathāgatā,<br/>paṭipannā pamokkhanti, jhāyino mārabandhanā.				MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra <b>akkhātā</b> imesaṃ bhedāya, amutra vā sutvā na imesaṃ <b>akkhātā</b> amūsaṃ bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings							18n	akkhāt	ar masc	5	6	55	
akkhāna 1	ps		nt	act	akkhāti					announcing; telling			√khā 1 a (to tell, announce)		ā + √khā + na	ākhyāna	√khyā				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	chanda-parisuddhi, utu’<b>kkhānaṃ</b>, bhikkhu-gaṇanā ca, ovādo - uposathassa etāni pubbakiccan'ti vuccati.				PAT PK	dhammayuttika-pubbakicca	utu-<b>akkhānañ</b>'ca; bhikkhugaṇanā'ca; bhikkhunīnam'ovādo cā'ti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	akkhān	a nt	5			
akkhāyī	ps		adj		akkhāti					asserting; declaring; saying; announcing			√khā 1 a (to tell, announce)		ā + √khā + [y] + ī	ākhyāyin	√khyā				SN 22.2	devadahasuttaṃ	paṇḍitā h’āvuso, manussā vīmaṃsakā — ‘kismiṃ pan’āyasmantānaṃ chandarāga-vinay’<b>akkhāyī</b> satthā’ti? - ‘rūpe … vedanāya … saññāya … sankhāresu … viññāṇe chandarāga-vinay’akkhāyī satthā’ti.				MN 107 (simpl)	gaṇakamoggallānasuttaṃ	tiṭṭhat’eva nibbānaṃ, tiṭṭhati nibbānagāmī maggo, magg’<b>akkhāyī</b>’haṃ tathāgato	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	akkhāy	ī adj	5			
akhaṇḍa	s		adj		na khaṇḍa	neg				unbroken; unfragmented; whole			√khaṇḍ 8 *e (to break)		na + √khaṇḍ + a	akhaṇḍa	√khaḍ										MN 48	kosambiyasuttaṃ	bhikkhu yāni tāni sīlāni <b>akhaṇḍāni</b> acchiddāni asabalāni akammāsāni bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhi-saṃvattanikāni 	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings							26n	akhaṇḍ	a adj	5	11	85	
akhema 1	s		adj		khema	neg				not safe; not secure; not at peace; not at rest			√khi 1 a (to live, abide peacefully)		na + √khi > khe + *ma	na + kṣema	√kṣi										Thai		handa mayaṃ khem’<b>ākhema</b>-saraṇa-gamana-paridīpikā-gāthāyo<br/>bhaṇāmase	Khem’ākhema-saraṇa-gamana	Going to True and False Refuges	Verses							08n	akhem	a adj	5			
agamā	s		imperf		gacchati			trans	+acc	came; arrived			√gam 1 a (to go)		a + √gam + ā	atigam	√gam			or imperf 3rd sg							AN 4.67	ahirājasuttaṃ	sabbe sattā sabbe pāṇā, sabbe bhūtā ca kevalā. <br/>sabbe bhadrāni passantu, mā kiñci pāpam’<b>āgamā</b>. 	Khandha-parittaṃ		Protective Recitations							54n	agam	ā imperf	5			
agārasmā anagāriyaṃ pabbajati	ps		idiom	nt(abl) + nt(acc) + pr						goes forth from home to homelessness; leaves home to become a monk											MN 7	vatthasuttaṃ	yass’atthāya kulaputtā samma’d’eva <b>agārasmā anagāriyaṃ pabbajanti</b>				MN 27	cūḷahatthipadopamasuttaṃ	yan’nūn’āhaṃ kesa-massuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā anagāriyaṃ pabbajeyyan</b>’ti.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!	agāra anagāriya pabbajati	5			
agāra 1	ps		nt							house; a dwelling place						agāra					SN 1.41	ādittasuttaṃ	ādittasmiṃ <b>agārasmiṃ</b>, yaṃ nīharati bhājanaṃ. taṃ tassa hoti atthāya, no ca yaṃ tattha ḍayhati.				AN 10.48	pabbajitābhiṇhasuttaṃ	‘kacci nu kho’haṃ suññ’<b>āgāre</b> abhiramāmī’ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections							34n	agār	a nt	5	9	721	
agāra 2	ps		nt							household life; domestic life						agāra					SN 1.28	mahaddhanasuttaṃ	hitvā <b>agāraṃ</b> pabbajitā,<br/>hitvā puttaṃ pasuṃ viyaṃ,<br/>hitvā rāgañ'ca dosañ'ca				MN 27	cūḷahatthipadopamasuttaṃ	yan’nūn’āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā</b> anagāriyaṃ pabbajeyyan’ti.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	agār	a nt	5	9	721	
agiddha	ns		adj	pp	na + gijjhati	neg				without greed; without desire			√gidh 3 ya (to be greedy)		na + √gidh + ta	agardhita, agṛdhnu	√gṛdh				SNP 47	māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9	yehi vivitto vicareyya loke, na tāni uggayha vadeyya nāgo,<br/>jal'ambujaṃ kaṇḍakaṃ vārijaṃ yathā, jalena paṅkena c'anūpalittaṃ,<br/>evaṃ munī santivādo <b>agiddho</b>, kāme ca loke ca anūpalitto.				TH 257	pārāpariyattheragāthā	paṇītaṃ yadi vā lūkhaṃ, appaṃ vā yadi vā bahuṃ.<br/>yāpan’atthaṃ abhuñjiṃsu, <b>agiddhā</b> n’ādhimucchitā. 	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	agiddh	a adj	5			
agga 1	ps		adj							highest; topmost; foremost; supreme						agra					TH 262	tālapuṭattheragāthā	disvā samudayaṃ vibhavañ’ca sambhavaṃ, <br/>dāy’ādako hehisi <b>agga</b>-vādino.				SN 12.22	dutiyadasabalasuttaṃ	na, bhikkhave, hīnena <b>aggassa</b> patti hoti. <b>aggena</b> ca kho, bhikkhave, <b>aggassa</b> patti hoti.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings							28n	agg	a adj	5	11	303	
agga 5	pss		nt	in comps						hall; room; space; place					agāra > agga	agāra					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	bhikkhu-gaṇanā ca: imasmiṃ uposath’<b>agge</b> sannipatitānaṃ bhikkhūnaṃ gaṇanā kittakā bhikkhū honti?				AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū sam<b>’aggā</b> sannipatissanti, sam<b>’aggā</b> vuṭṭhahissanti, sam’<b>aggā</b> saṅgha-karaṇīyāni karissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposath-<b>agge</b> uposath'atthāya sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha	27n	agg	a nt	5			
aggi	ps	4	masc							fire						agni					DHP 136	daṇḍavaggo	atha pāpāni kammāni, karaṃ bālo na bujjhati. <br/>sehi kammehi dummedho, <b>aggi</b>-daḍḍho’va tappati.										SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’<b>agginā</b>, dos’<b>agginā</b>, moh’<b>agginā</b> ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	39n	agg	i masc	5	4	335	[sound:aggi.mp3]
aṅga 2	ps		nt							factor; component; element; quality; aspect			√añj 8 *e (to distinguish)		√añj + a	aṅga	√añc				SN 5.10	vajirāsuttaṃ	yathā hi <b>aṅga</b>-sambhārā, hoti saddo ratho iti. <br/>evaṃ khandhesu santesu, hoti satto’ti sammuti				Thai		handa mayaṃ satta-sambojjh’<b>aṅga</b>-pāṭhaṃ bhaṇāmase	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings							19n	aṅg	a nt	5	9	336	
aṅgika	ps		adj	in comps	aṅga					consisting of x parts; composed of x factors			√añj 8 *e (to distinguish)		√añj > aṅg + ika	aṅgaka	√añc				MN 43	mahāvedallasuttaṃ	paṭhamaṃ pan'āvuso, jhānaṃ kati-<b>aṅgikan</b>'ti? paṭhamaṃ kho, āvuso, jhānaṃ pañc'<b>aṅgikaṃ</b>.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	ayam’eva ariyo aṭṭh’<b>aṅgiko</b> maggo seyyath’īdaṃ sammādiṭṭhi sammāsaṅkappo sammāvācā sammākammanto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	aṅgik	a adj	5			
aṅgulī 1	ps		fem		aṅga					finger			√añc 1 a (to bend)		√añc > aṅg + ulī	aṅgulī	√añc √ac				DN 27.3	aggaññasuttaṃ	tesaṃ rasapathaviṃ <b>aṅguliyā</b> sāyataṃ acchādesi, taṇhā ca tesaṃ okkami.				Trad		ukkhitta-khaggam-atihattha-sudāruṇan’taṃ, dhāvan’ti-yojana-path’<b>aṅguli</b>-mālavantaṃ. iddhī’bhisaṅkhata-mano jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	aṅgul	ī fem	5			
acintayi	s		aor		cinteti			trans	+acc	thought (about); pondered (over)			√cint 8 *aya (to think)	√cint + aya > cintaya	a + cintaya + i	cint	√cint										SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	bahū devā manussā ca, maṅgalāni <b>acintayuṃ</b>.<br/>ākaṅkhamānā sotthānaṃ, brūhi maṅgalam’uttamaṃ	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	acintay	i aor	5			
aciraṃ	s		ind	adv, acc sg	na cira	neg				soon; before long; lit. not long					na + cira + aṃ	aciram											DHP 041	cittavaggo	<b>aciraṃ</b> vat’ayaṃ kāyo, paṭhaviṃ adhisessati.<br/>chuddho apeta-viññāṇo, niratthaṃ’va kaliṅgaraṃ. 	Anicc’ānussati	Recollection of Impermanence	Reflections							36n	-		5	6	4	
acca	ps		prefix							(prefix)					ati + a	ati + a							sodha sibbinim’<b>acca-</b>gā’ti<br/>icc’evam <b>acca</b>nta-namassanīyaṃ						yo-<b>acca</b>nta-suddhabbara-ñāṇa-locano<br/>so vo mam’<b>acca</b>yena satthā			Prefixes							99n	-		5			
accanta 1	ps		adj							complete; absolute; ultimate; lit. up to the end					ati + anta	atyanta					SN 22.4	dutiyahāliddikānisuttaṃ	“vuttam’idaṃ, bhante, bhagavatā sakkapañhe — ‘ye te samaṇabrāhmaṇā taṇhāsaṅkhayavimuttā, te <b>accanta</b>-niṭṭhā <b>accanta</b>-yogakkhemino <b>accanta</b>-brahmacārino <b>accanta</b>-pariyosānā seṭṭhā devamanussānan’ti.				Thai		buddho susuddho karuṇā-mah’aṇṇavo, yo-<b>accanta</b>-suddhabbara-ñāṇa-locano, lokassa pāp’ūpakilesa-ghātako	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem							05n	accant	a adj	5			
accayena 2	s	5	ind	adv, instr sg	accaya				+gen	after the death (of); after the passing away; lit. with going beyond			√i 1 a (to come, go)		ati + √i > ay + *a + ena	atyāsam	√i																DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, mayā dhammo ca vinayo ca desito paññatto, so vo mam’<b>accayena</b> satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings	29n	-		5	13	242	[sound:accayena.mp3]
accādhāya	s		ger		acchādhāti			trans	+acc	placing; lit. putting on			√dhā 1 a (to place, support)		ati + ā + √dhā + ya	atyādhā	√dhā										MN 107	gaṇakamoggallānasuttaṃ	rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena sīhaseyyaṃ kappeyyāsi pāde pādaṃ <b>accādhāya</b> sato sampajāno uṭṭhānasaññaṃ manasikaritvā	Anupubba-sikkhā	The Gradual Training	Teachings							18n	-		5			
acchādetvā	s		abs		acchādeti			trans	+acc	having dressed (in); having clothed oneself (in); having put on			√chad 8 *e (to cover, conceal)	√chad + *e > chāde	ā + chāde + tvā	ācchad	√chad										MN 27	cūḷahatthipadopamasuttaṃ	yan’nūn’āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni <b>acchādetvā</b> agārasmā anagāriyaṃ pabbajeyyan’ti.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	-		5	8	113	
acchidda	ps		adj	pp	na chindati	neg				unbroken; flawless; without cracks			√chid 2 ṃa (to cut, steal)		na + √chid + ta	acchidra	√chid				AN 6.55	soṇasuttaṃ	seyyathā’pi, bhante, selo pabbato <b>acchiddo</b> asusiro ekagghano. atha puratthimāya ce'pi disāya āgaccheyya bhusā vātavuṭṭhi n'eva naṃ saṅkampeyya na sampakampeyya na sampavedheyya				MN 48	kosambiyasuttaṃ	bhikkhu yāni tāni sīlāni akhaṇḍāni <b>acchiddāni</b> asabalāni akammāsāni bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhi-saṃvattanikāni 	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings							26n	acchidd	a adj	5			
aja	ps		masc							goat						aja					SN 3.9	yaññasuttaṃ	<b>aj’</b>eḷakā ca gāvo ca, vividhā yattha haññare. na taṃ sammaggatā yaññaṃ, upayanti mah’esino.				MN 51	kandarakasuttaṃ	<b>aj’</b>eḷaka-paṭiggahaṇā paṭivirato hoti, kukkuṭasūkara-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	aj	a masc	5			
ajeḷakapaṭiggahaṇa	s		nt	act, comp						accepting goats and sheep					aja + eḷaka + paṭiggahaṇa	ajaiḍaka + pratigrahaṇa											MN 51	kandarakasuttaṃ	<b>aj’eḷakapaṭiggahaṇā</b> paṭivirato hoti, kukkuṭasūkara-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ajeḷakapaṭiggahaṇ	a nt	5			
ajeḷakā	ps		masc	pl, comp						goats and sheep					aja + eḷaka + ā	ajaiḍaka					SN 3.9	yaññasuttaṃ	<b>aj’eḷakā</b> ca gāvo ca, vividhā yattha haññare. na taṃ sammaggatā yaññaṃ, upayanti mah’esino.				MN 51	kandarakasuttaṃ	<b>aj’eḷaka</b>-paṭiggahaṇā paṭivirato hoti, kukkuṭasūkara-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ajeḷak	a masc pl	5			
ajja	ps	6	ind	adv						today; now					ima + jju + a<br/>ajju + a	adya					TH 263	mahāmoggallānattheragāthā	so’haṃ <b>ajja</b> kathaṃ vajjaṃ, ahaṃ nicco’mhi sassato.										MN 131	bhaddekarattasuttaṃ	<b>ajj</b>’eva kiccam’ātappaṃ, ko jaññā maraṇaṃ suve. na hi no saṅgaran’tena, mahā-senena maccunā.	Bhadd’eka-ratta	A single Excellent Night	Verses	16n	-		5	6	226	
ajjeva	ns		sandhi	adv + ind						this very day; just today; right now					ajja + eva	adya + eva		ajjatañca, ajjevaṃ			SN 3.14	paṭhamasaṅgāmasuttaṃ	<b>ajj'eva</b>, bhikkhave, rājā pasenadi kosalo imaṃ rattiṃ dukkhaṃ seti parājito'ti.				MN 131	bhaddekarattasuttaṃ	<b>ajj’eva</b> kiccam’ātappaṃ, <br/>ko jaññā maraṇaṃ suve. <br/>na hi no saṅgaran’tena, <br/>mahā-senena maccunā.	Bhadd’eka-ratta	A single Excellent Night	Verses							16n	!	ajja eva	5			
ajjha	ps		prefix	comp						(prefix)					adhi + a	adhyā							<b>ajjha</b>tta’bahiddhā vā kāye kāyānupassī viharati<br/>anuddhato viharati <b>ajjha</b>ttaṃ vūpasantacitto						bhagavantaṃ gāthāya <b>ajjha-</b>bhāsi<br/>yad-<b>ajjha-</b>gā sakya-munī samāhito			Prefixes							99n	-		5			
ajjhagā	ps		imperf		adhigacchati			trans	+acc	obtained; was experienced; attained; got			√gam 1 a (to go)		adhi + a + √gam + ā	adhigam	√gam			or aor reflx 3rd sd	DHP 154	jarāvaggo	gahakāraka diṭṭho’si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā bhaggā, gahakūṭaṃ visaṅkhataṃ, <br/>visaṅkhāragataṃ cittaṃ, taṇhānaṃ khayam’<b>ajjhagā.</b>				SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	khayaṃ virāgaṃ amataṃ paṇītaṃ,  <br/>yad'<b>ajjhagā</b> sakya-munī samāhito. <br/>na tena dhammena sam’atthi kiñci,	Ratana-sutta		Protective Recitations							52n	!ajjhag	ā imperf	5			
ajjhatta	ns		adj	comp						inner; internal; personal; in oneself					adhi > adhy > ajjh + atta + a<br/>adhi + atta	adhyātma					SNP 47	māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9	idaṃ vadāmī'ti na tassa hoti, dhammesu niccheyya samuggahītaṃ,<br/>passañ'ca diṭṭhīsu anuggahāya, <b>ajjhatta</b>-santiṃ pacinaṃ adassaṃ.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	vitakka-vicārānaṃ vūpasamā <b>ajjhattaṃ</b> sampasādanaṃ cetaso ekodibhāvaṃ avitakkaṃ avicāraṃ samādhijaṃ pītisukhaṃ dutiyaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	ajjhatt	a adj	5			
ajjhattaṃ	ss		ind	adv, acc sg	ajjhatta					internally; inwardly; personally; within himself			√as 1 a (to be)		adhi + atta + aṃ	adhyātma	√as										MN 51	kandarakasuttaṃ	so iminā ariyena sīlakkhandhena samannāgato <b>ajjhattaṃ</b> anavajjasukhaṃ paṭisaṃvedeti	Anupubba-sikkhā	The Gradual Training	Teachings	MN 107	gaṇakamoggallānasuttaṃ	uddhaccakukkuccaṃ pahāya anuddhato viharati <b>ajjhattaṃ</b> vūpasantacitto, uddhaccakukkuccā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings	18n	-		5	13	956	
ajjhabhāsi	s		aor		ajjhabhāsati			trans	+acc	addressed; spoke (to)			√bhās 1 a (to speak)		adhi + a + √bhās + i	abhibhāṣ	√bhāṣ										SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	upasaṅkamitvā bhagavantaṃ abhivādetvā ekam’antaṃ aṭṭhāsi. ekam’antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya <b>ajjhabhāsi</b>	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	ajjhabh	āsi aor	5	4	146	
